,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.2079948686911915,0.08405406180560272,-2.474536794809925,0.013340907777858214,-0.3727378025844766,-0.0432519347979064
C(domain)[T.Electronics],0.32915658791369173,0.021763794007837435,15.124044447174882,1.1242063156607203e-51,0.2865003354913817,0.37181284033600176
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Acquisition Narrative]",0.019383880198706314,0.03994121532835784,0.48531022502322213,0.6274563034299897,-0.05889946334363421,0.09766722374104683
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Affective Stance]",-0.15547189895246802,0.03889542934684682,-3.997176572240919,6.410248615439502e-05,-0.23170553963551005,-0.07923825826942597
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Contextual Framing]",0.013058250799241831,0.03629196373972983,0.35981108360214187,0.7189884140567351,-0.0580726910588622,0.08418919265734587
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Evaluative Positioning]",-0.1277660088494167,0.044258940856054134,-2.8867841475230356,0.0038920113771452234,-0.21451193892117115,-0.04102007877766224
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Product Reference]",0.006063412244954958,0.036655966480622026,0.16541406016835888,0.8686180877037211,-0.06578096187557164,0.07790778636548157
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Specific Identification]",-0.10453656334458927,0.04067328557453183,-2.5701529116213413,0.010165363430183837,-0.18425473820358418,-0.024818388485594367
"C(cluster_label, Treatment(reference=""Direct Evaluation""))[T.Terse Evaluation]",0.04366661640284596,0.04115362112208437,1.0610637706292396,0.2886609211392168,-0.03699299882984625,0.12432623163553819
log_wc,0.535664869685921,0.011708994770079393,45.74815175891388,0.0,0.5127156616413975,0.5586140777304445
overall,-0.3899889965547315,0.04603839322737366,-8.470951508421683,2.433965549300074e-17,-0.48022258918647664,-0.2997554039229864
star_sq,0.053777008054759254,0.007072292764443575,7.603900155989972,2.8733696758915056e-14,0.03991556894832663,0.06763844716119188
log_exp,0.4610971199152799,0.03289987820462085,14.015161911770177,1.2591079733616254e-44,0.39661454353846876,0.5255796962920911
alpha,1.0148953587352167,0.013937412627459827,72.81806070200184,0.0,0.9875785319477217,1.0422121855227118
